volumn	rate	time
83	97.59%	104.19
148	99.32%	97.25
129	93.80%	92.74
107	95.33%	92.23
102	94.12%	95.67
96	89.58%	7118.91
102	98.04%	5836.45
122	98.36%	95.84
78	96.15%	95.94
105	100%	105.08
95	98.95%	98.56
119	93.28%	448.71
99	97.98%	94.8
96	96.88%	105.25
97	94.85%	521.4
117	95.73%	109.77
110	99.09%	100.2
118	99.15%	1190.64
101	97.03%	487.5
85	97.65%	100.79
96	87.50%	538.77
89	93.26%	110.43
86	95.35%	112.88
98	94.90%	513.86
90	98.89%	110.3
91	95.60%	101.34
93	94.62%	99.54
80	100%	109.99
96	97.92%	111.33
88	96.59%	100.97
65	95.38%	106.57
82	100%	122
72	100%	106.63
63	96.83%	119.81
71	98.59%	110.1
69	91.30%	112.61
65	98.46%	101.77
61	100%	107.69
54	96.30%	102.83
75	97.33%	106.4
78	96.15%	616.31
86	94.19%	101.69
86	95.35%	97.44
46	97.83%	103.87
52	90.38%	105.75
57	92.98%	107.19
54	96.30%	100.02
37	100%	104.51
38	89.47%	114.18
48	93.75%	108.5
45	95.56%	103.18
66	92.42%	108.32
80	97.50%	108.54
55	90.91%	108.16
61	96.72%	104.08
46	93.48%	101.78
59	98.31%	777.07
56	100%	110.52
56	96.43%	107.77
43	95.35%	101.16
49	97.96%	100.49
40	97.50%	112.13
41	95.12%	101.46
54	98.15%	104.52
50	96%	118.5
43	97.67%	110.67
59	96.61%	103.36
55	96.36%	103.71
46	97.83%	114.48
48	97.92%	108.83
49	97.96%	920.59
49	100%	97.63
40	97.50%	113.33
47	100%	100.62
47	100%	102.6
44	97.73%	1019.8
40	97.50%	102.9
33	96.97%	116.7
36	100%	124.22
27	100%	128.19
46	95.65%	98.5
49	97.96%	97.78
37	91.89%	103.03
47	97.87%	97.57
63	100%	101.11
55	94.55%	100.11
51	100%	101.73
45	95.56%	115.69
38	100%	98.92
41	100%	106.66
37	100%	99.86
42	100%	100.05
52	94.23%	103.12
39	100%	102.23
40	100%	100.65
46	95.65%	106.91
48	97.92%	98.27
38	100%	106.03
51	100%	97.24
29	100%	118.21
27	100%	112.33
28	96.43%	106.86
52	96.15%	100.94
55	94.55%	100.56
35	100%	122.34
41	97.56%	2049.85
39	100%	106.38
35	100%	122.29
35	97.14%	106.43
30	100%	101.63
38	94.74%	109.66
21	95.24%	98.24
35	94.29%	108.37
49	95.92%	105.12
30	100%	103.97
27	100%	98.81
29	96.55%	101.24
45	93.33%	991.44
47	100%	100.79
36	97.22%	99.58
34	100%	99.44
18	100%	103.22
31	93.55%	102.48
46	95.65%	99.04
36	100%	100.11
24	100%	101.67
29	100%	105.52
19	100%	104.58
25	100%	102.24
18	100%	101.39
27	100%	99.07
24	95.83%	101.21
29	100%	100.66
38	97.37%	99.47
27	100%	113.78
35	100%	101.71
26	96.15%	115.85
18	100%	101.94
30	93.33%	99.3
31	96.77%	100.26
17	82.35%	101.06
19	84.21%	102.42
18	100%	125.94
12	91.67%	104
21	100%	99.76
36	100%	108.72
24	100%	105.67
35	100%	100.69
23	86.96%	101.43
24	95.83%	99.38
20	90%	98.2
22	86.36%	104.27
31	100%	103.23
24	95.83%	105.83
27	100%	107.89
25	96%	121.52
23	95.65%	100.17
29	96.55%	123.79
17	100%	108.24
25	100%	102.36
19	100%	113.74
24	95.83%	103.33
32	93.75%	119.28
21	95.24%	2016.33
38	94.74%	102.05
20	100%	105.1
22	95.45%	103.41
25	92%	1702.04
21	100%	96.24
27	96.30%	104.67
25	100%	97.76
21	95.24%	95.52
21	95.24%	99.81
15	100%	2766.07
24	95.83%	104
10	90%	109.8
21	90.48%	105.71
24	100%	110.33
27	88.89%	104.19
19	94.74%	101.42
20	85%	96.3
18	100%	98.83
23	100%	102.22
36	97.22%	114.17
29	100%	106.48
23	100%	128.91
9	100%	169.56
3	100%	103
10	90%	112.1
16	93.75%	128.19
25	96%	106.16
23	100%	105.39
18	100%	121.61
13	100%	3178
14	92.86%	93.14
13	100%	101.62
15	93.33%	2768.27
16	100%	97.88
10	100%	103.8
29	100%	103.55
