volumn	time
83	104.19
148	97.25
129	92.74
107	92.23
102	95.67
96	7118.91
102	5836.45
122	95.84
78	95.94
105	105.08
95	98.56
119	448.71
99	94.8
96	105.25
97	521.4
117	109.77
110	100.2
118	1190.64
101	487.5
85	100.79
96	538.77
89	110.43
86	112.88
98	513.86
90	110.3
91	101.34
93	99.54
80	109.99
96	111.33
88	100.97
65	106.57
82	122
72	106.63
63	119.81
71	110.1
69	112.61
65	101.77
61	107.69
54	102.83
75	106.4
78	616.31
86	101.69
86	97.44
46	103.87
52	105.75
57	107.19
54	100.02
37	104.51
38	114.18
48	108.5
45	103.18
66	108.32
80	108.54
55	108.16
61	104.08
46	101.78
59	777.07
56	110.52
56	107.77
43	101.16
49	100.49
40	112.13
41	101.46
54	104.52
50	118.5
43	110.67
59	103.36
55	103.71
46	114.48
48	108.83
49	920.59
49	97.63
40	113.33
47	100.62
47	102.6
44	1019.8
40	102.9
33	116.7
36	124.22
27	128.19
46	98.5
49	97.78
37	103.03
47	97.57
63	101.11
55	100.11
51	101.73
45	115.69
38	98.92
41	106.66
37	99.86
42	100.05
52	103.12
39	102.23
40	100.65
46	106.91
48	98.27
38	106.03
51	97.24
29	118.21
27	112.33
28	106.86
52	100.94
55	100.56
35	122.34
41	2049.85
39	106.38
35	122.29
35	106.43
30	101.63
38	109.66
21	98.24
35	108.37
49	105.12
30	103.97
27	98.81
29	101.24
45	991.44
47	100.79
36	99.58
34	99.44
18	103.22
31	102.48
46	99.04
36	100.11
24	101.67
29	105.52
19	104.58
25	102.24
18	101.39
27	99.07
24	101.21
29	100.66
38	99.47
27	113.78
35	101.71
26	115.85
18	101.94
30	99.3
31	100.26
17	101.06
19	102.42
18	125.94
12	104
21	99.76
36	108.72
24	105.67
35	100.69
23	101.43
24	99.38
20	98.2
22	104.27
31	103.23
24	105.83
27	107.89
25	121.52
23	100.17
29	123.79
17	108.24
25	102.36
19	113.74
24	103.33
32	119.28
21	2016.33
38	102.05
20	105.1
22	103.41
25	1702.04
21	96.24
27	104.67
25	97.76
21	95.52
21	99.81
15	2766.07
24	104
10	109.8
21	105.71
24	110.33
27	104.19
19	101.42
20	96.3
18	98.83
23	102.22
36	114.17
29	106.48
23	128.91
9	169.56
3	103
10	112.1
16	128.19
25	106.16
23	105.39
18	121.61
13	3178
14	93.14
13	101.62
15	2768.27
16	97.88
10	103.8
29	103.55
25	107.56
14	102.57
20	100.65
11	101.18
20	92.55
12	118.83
19	2204.16
20	108.8
24	104.75
16	105.69
13	106
25	110.92
14	126.07
22	99
18	93.5
15	108.07
31	1478.87
17	99.47
18	108
15	108.33
7	102.57
12	102.08
29	106.76
10	120.6
7	99.86
7	109.43
15	97.4
18	140
11	115.09
19	108.37
11	100.73
8	127.88
19	119.47
7	228.71
10	102.3
17	96.53
19	106.42
10	104.8
6	91.33
14	151.64
7	112.57
10	101.9
14	101.57
21	105.86
15	111.93
12	101
11	110.55
11	102
21	108.38
12	96.67
11	3738.73
10	102.6
17	102.59
18	105.56
17	103.59
9	123.89
14	105.64
21	103.24
16	102.25
26	110.81
14	108.5
10	111.4
12	101.08
13	102.15
13	99
10	98.8
17	103.82
11	101.55
12	110.25
15	100.53
24	106.83
17	101.71
17	101.12
15	102.73
22	105.5
27	101.41
13	99.77
9	104.56
11	101.18
14	124.29
16	100.44
7	101.57
11	101.18
16	104.75
6	94.33
19	102.53
7	101.29
6	100.17
18	105.33
9	168.33
9	113.78
16	109.56
15	132.87
16	105
5	103.2
19	105
18	112.67
8	100.75
27	107.44
18	101.89
28	109.36
12	104
36	1210.44
19	127.79
20	100.75
18	97.78
27	114.81
15	107.4
8	100.63
25	96.68
29	102.14
16	101.88
21	100.38
16	101.56
11	100.64
17	99.76
35	108.8
19	148.68
22	101.36
10	111.1
16	101.5
15	98.87
21	101.1
14	101.5
26	100.46
25	99.08
27	101.37
13	98.31
33	100.79
21	103.14
16	103.94
20	132.05
34	116.47
32	103.72
35	102.91
21	103.86
25	100.76
20	104.65
18	4546.06
31	103.23
27	101.7
22	107.18
35	99.37
41	104.07
36	100.58
18	95.94
22	120.68
27	101.41
43	119
39	118.85
46	110.87
35	108.46
53	103.32
34	102.76
29	107.38
50	121.28
53	103.83
55	101.91
42	102.95
33	109.67
43	102.53
24	102.38
35	97.69
43	102.16
44	109.86
67	103.04
41	107.07
34	96.38
65	96.98
53	855.92
60	765.32
49	103.43
66	113.89
56	97.57
64	99.69
66	99.12
67	105.18
68	113.29
74	102.8
62	102.63
71	101.25
70	100.36
60	100.47
63	99.3
88	99.95
94	100.07
86	99.94
101	496.12
108	104.99
107	100.73
123	97.07
118	449.17
114	104.03
97	513.15
122	428.88
115	102.26
108	99.79
110	466.06
167	102.07
127	102.77
136	100.84
147	101.35
155	356.3
166	98.02
136	395.36
180	325.51
157	99.71
189	96.48
182	115.18
193	101.98
200	100.41
215	106.43
198	102.77
195	301.78
191	97.47
196	102.62
252	256.33
192	102.71
201	292.68
234	17362
229	271.1
274	243.91
241	265.95
228	100.45
252	96.09
276	103.13
311	226.85
324	96.93
296	230.79
313	227.61
298	368.18
311	222.45
306	355.6
312	103.1
315	100.18
333	111.97
357	218.16
303	102.41
347	99.06
396	92.5
393	89.69
405	392.48
399	398.75
455	182.65
436	91.73
441	93.09
400	194.06
438	94.5
457	178.29
451	180.73
444	90.03
521	168.19
519	321.46
444	91.49
433	183.61
557	159.76
517	88.56
522	90.66
508	89.89
522	320.26
538	91.18
548	161.89
623	91.7
584	92.35
591	157.35
684	87.08
598	226.76
623	154.27
590	156.79
609	87.68
635	156.44
590	159.42
557	233.32
647	150.34
583	86.82
655	92.33
653	147.2
678	206.87
609	92.91
609	91.22
680	205.87
691	145.57
645	272.71
746	138.51
665	85.94
709	85.81
715	81.09
784	135.13
729	84.69
735	85.81
717	145.23
776	289.75
766	242.76
767	83.46
861	128.25
787	133.13
800	84.83
802	282.32
804	131.35
757	136.18
762	187.9
857	126.4
921	125.04
862	81.22
898	81.35
834	83.24
859	81.65
843	129.17
889	125.37
880	174.09
813	88.22
887	82.07
922	124.22
963	79.44
959	165.79
936	122.54
1005	131.82
998	160.74
1014	123.97
1030	83.48
1023	275.85
1043	117.62
1004	200.89
1051	157.81
1028	82.49
1063	195.07
1068	154.86
1131	114.91
1014	78.23
1132	146.6
1024	119.48
1109	78.02
1021	157
1166	115.49
1010	78.18
1019	116.57
1019	120.38
1125	77.05
1092	78.82
1078	7576.16
1099	151.56
1223	114.39
1122	185.07
1178	113.96
1160	81.51
1149	114.95
1123	221.13
1118	77.58
1185	180.67
1179	78.41
1220	175.77
1139	114.39
1213	143.11
1085	223.74
1156	215.45
1190	112.31
1199	145.31
1201	175.4
1214	79.37
1241	140.15
1174	112.61
1191	210.59
1189	77.98
1189	178.03
1135	147.57
1184	214.84
1304	201.02
1238	76.32
1167	80.79
1215	109.62
1299	108.98
1296	109.48
1296	137.3
1275	107.36
1310	106.6
1271	218.17
1220	144.81
1327	134.72
1219	75.46
1252	219.93
1250	75.04
1300	105.37
1321	76.81
1307	137.85
1316	77.69
1325	106.65
1274	202.91
1291	140.29
1307	105.51
1302	105.81
1328	255.13
1297	106.6
